form	lemma	POS	morph
དཀར་ཆག་	དཀར་ཆག་	NOUN
དང་པོ་	དང་པོ་	ADJ
ཐོག་མ་	ཐོག་མ་	NOUN
ར་	ལ་	PART
དགེ་བ་	དགེ་བ་	VERB
ཀླད་	ཀླད་	NOUN
ཀྱི་	གི་	PART
དོན་	དོན་	NOUN
།		PUNCT
		
གཉིས་པ་	གཉིས་པ་	NUM
བ་	བ་	NOUN
དུ་	ལ་	PART
དགེ་བ་	དགེ་བ་	VERB
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
དོན་	དོན་	NOUN
།		PUNCT
		
ཀ་	ཀ་	DET
		
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
ཡུལ་	ཡུལ་	NOUN
གྱི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ཁ་	ཁ་	PRON
		
ཡུལ་	ཡུལ་	NOUN
གྱི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
།		PUNCT
		
ཁ་	ཁ་	PRON
		
མཚན་གཞི་	མཚན་གཞི་	NOUN
འི་	གི་	PART
དབྱེ་བ་	དབྱེ་བ་	VERB
།		PUNCT
		
ག་	ག་	PRON
		
གཞན་	གཞན་	DET
གྱི་	གི་	PART
ལོ་	གོ་	PART
རྟོག་	རྟོག་	VERB
དགག་པ་	དགག་པ་	VERB
།		PUNCT
		
ག་	ག་	PRON
		
རིགས་པ་	རིགས་པ་	VERB
ས་	གིས་	PART
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
དགོད་པ་	དགོད་པ་	VERB
།		PUNCT
		
ག་	ག་	PRON
		
དེ་	སྟེ་	PART
ལ་	ལ་	PART
རྩོད་པ་	རྩོད་པ་	VERB
སྤང་བ་	སྤང་བ་	VERB
།		PUNCT
		
ཁ་	ཁ་	PRON
		
དབྱེ་བ་	དབྱེ་བ་	VERB
སོ་སོ་	སོ་སོ་	PRON
འི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
།		PUNCT
		
ག་	ག་	PRON
		
རང་མཚན་	རང་མཚན་	NO_POS
གཏན་	གཏན་	NOUN
ལ་	ལ་	PART
དབབ་པ་	དབབ་པ་	VERB
།		PUNCT
		
ག་	ག་	PRON
		
སྤྱི་	སྤྱི་	DET
འི་	གི་	PART
